combo_id,n_trades,gross_sharpe,mean_gross,std_gross,win_rate,entry_timing_offset,fill_slippage_ticks,cooldown_after_exit_bars
1298,498,2.2722610794112152,1126.9904012171328,4593.599244713396,0.38353413654618473,0,2,3
865,747,2.0980036541999896,650.4923580158887,3517.002721795513,0.4431057563587684,1,1,3
1447,310,1.662864767391767,1119.5533877396829,4919.774177870391,0.16451612903225807,0,1,3
1149,101,1.650168407278089,1132.5505064871147,2862.6380675681,0.4752475247524752,1,2,10
70,249,1.2313410989331048,762.7305370819538,4056.662501196805,0.3895582329317269,1,1,10
664,2658,1.1995298397276557,149.45030304883605,2665.8743573197094,0.4872084273890143,1,1,3
587,1139,1.1199357373337102,307.3213431269661,3843.597713020667,0.13169446883230904,1,0,0
348,114,1.0620807420529341,768.4810529215682,3206.302552823887,0.5087719298245614,0,0,0
483,169,0.9891892037384131,1117.8384069479541,6097.045790143869,0.2603550295857988,2,1,0
608,188,0.9132252582787177,707.8525435493082,4410.829309158377,0.32978723404255317,0,2,0
804,210,0.8949430804624706,487.65646192453215,3277.2129418890772,0.26666666666666666,1,0,10
156,121,0.7745839381438548,637.4866959159999,3757.2644953149024,0.4049586776859504,0,1,10
592,274,0.7568170995661229,498.2262977576639,4522.592284125844,0.31386861313868614,2,1,0
918,371,0.7511266583979277,369.47825929495593,3932.2318158278845,0.3423180592991914,0,2,3
1383,1146,0.7484533852630517,142.78648749764014,2680.347525541361,0.36649214659685864,1,1,3
841,75,0.7384792585626961,264.1586178385306,1285.6819840768885,0.56,1,2,3
696,209,0.7244864069671724,564.7704319805923,4677.257693956142,0.28708133971291866,2,0,10
1050,300,0.7168669155141729,461.8212244947219,4630.9748590333575,0.3233333333333333,1,1,3
1220,206,0.693030421231359,403.37076625978636,3467.0665379801653,0.3786407766990291,0,0,10
642,51,0.6898016097010253,1267.5673682874042,5446.385525739887,0.3333333333333333,1,1,0
519,205,0.6847756620773042,391.1385168558915,3394.186045745242,0.3902439024390244,2,1,3
140,238,0.6697635592492843,436.0192943511246,4168.205445379279,0.1134453781512605,2,2,3
599,435,0.6586958946037164,226.77311164759956,2980.0783063763743,0.4206896551724138,2,1,10
674,189,0.6567027564274162,347.3676655858025,3018.060198020623,0.4708994708994709,0,0,0
1088,496,0.6316895628173707,244.49277695019924,3577.4997759765674,0.3709677419354839,2,0,3
43,120,0.6110113307037213,727.0368440944761,5409.712987653451,0.25833333333333336,1,1,0
1236,174,0.5973213109510146,435.2287858381719,3988.9690916282325,0.3218390804597701,2,1,10
838,82,0.5924069176286697,399.47128993412997,2534.2463047364654,0.5487804878048781,1,0,3
633,920,0.592227914679881,127.3960628739972,2707.9303583822943,0.46956521739130436,0,0,3
1153,108,0.5807193814484418,696.7436122678923,5174.81701788952,0.26851851851851855,0,2,10
773,132,0.5738923864687883,676.7093180681794,5622.57301558974,0.25,1,1,10
850,115,0.5585064095084638,613.3329930538655,4887.576083211041,0.28695652173913044,0,1,3
444,206,0.5322722020818015,484.8028259520675,5425.520541715085,0.22815533980582525,1,1,3
392,230,0.5241815960940395,462.20450095701653,5549.997205051428,0.21739130434782608,1,0,10
898,795,0.5079377377157658,200.96979934721116,4629.992929944479,0.2528301886792453,1,0,3
647,66,0.5054746017068604,605.1024158510725,4036.2490968476436,0.36363636363636365,0,1,3
81,482,0.5039159584386773,239.02506835725754,4322.0053781588895,0.2946058091286307,0,1,3
407,306,0.5008456392113355,351.2284122235841,5091.232166188377,0.21895424836601307,2,1,0
799,613,0.4963748886727552,112.36455491552248,2326.088399472791,0.4698205546492659,1,1,0
1463,151,0.4929518518895082,332.74491978879104,3442.48336016533,0.23841059602649006,1,2,3
1069,167,0.4899867025058004,472.12338189372804,5167.802358720924,0.2275449101796407,0,2,10
839,341,0.47648925121951957,277.0869132560889,4456.732224190578,0.2756598240469208,2,2,10
991,1286,0.4652050260514305,83.90460847068947,2684.3450886243754,0.46500777604976673,1,0,3
622,139,0.46200467764966485,340.37320993968046,3604.8968531301325,0.23741007194244604,2,2,10
1314,272,0.44714517684724,146.61085179023362,2244.287359304871,0.5036764705882353,2,1,3
253,439,0.4397043898696768,235.99177426855428,4667.074881599852,0.2528473804100228,2,1,3
435,254,0.43776747807556654,275.7904224244837,4167.052660249896,0.28346456692913385,0,2,10
518,159,0.4377301430368562,438.63531103856775,5244.1142327183425,0.22641509433962265,2,0,10
586,232,0.4371727338984746,318.10735480688294,4599.8225736604,0.27586206896551724,0,0,3
419,109,0.4341904366385873,373.5692405878938,3728.0398836078757,0.1743119266055046,1,0,10
591,95,0.4285306381450279,415.5751768427586,3922.888535961554,0.35789473684210527,0,1,0
1238,179,0.42632129425960613,160.608746711627,2091.872101325583,0.4581005586592179,1,0,0
1022,144,0.41724211371090986,192.3367648421231,2295.7884201635256,0.5069444444444444,0,1,0
302,114,0.40672553879943574,471.12825135767696,5132.944578446135,0.2543859649122807,1,1,10
890,327,0.40645646296758214,208.28960756451409,3845.952263971895,0.3211009174311927,2,2,3
241,81,0.3905239257876951,326.54106316534467,3123.2669843824056,0.30864197530864196,1,2,10
873,142,0.3879098134068061,314.9372712202825,4015.262204084486,0.33098591549295775,0,2,0
1171,56,0.3857063469839812,543.6882995950908,4377.878052068557,0.32142857142857145,1,1,0
800,238,0.38151087343286344,106.27698297237933,1783.5990001413702,0.47058823529411764,1,2,10
571,62,0.3779902709864435,507.66077734621086,4388.9969433500855,0.3225806451612903,1,2,10
1307,385,0.377494658456296,157.6289483350208,3400.415420756013,0.3974025974025974,1,1,0
662,256,0.3771888532681151,144.59310469250232,2545.5706831881294,0.42578125,0,1,0
258,213,0.3636067315023759,67.21724608966362,1119.7344685995488,0.5070422535211268,1,1,0
16,51,0.35500827366107574,663.2784879339397,5537.566701439542,0.2549019607843137,2,2,10
565,159,0.35330851203672126,323.1652923383537,4786.80370114442,0.2578616352201258,0,0,0
490,135,0.35080278102258605,297.0094808958387,4082.7295705006773,0.35555555555555557,0,1,0
603,700,0.34565463522956646,77.08135950211852,2448.6823204432594,0.44285714285714284,0,0,10
495,94,0.33756011574676476,298.93974872808184,3563.4683823327196,0.3829787234042553,1,1,0
206,58,0.3332229020368246,272.94381895547144,2588.980999692488,0.5172413793103449,1,1,0
1286,571,0.33104288590151887,90.72326621955561,2717.871484039312,0.4448336252189142,1,1,3
1278,351,0.3278518994979772,118.87435332151178,2819.2946445316975,0.4358974358974359,0,1,10
124,149,0.3272049701767662,171.21559754010815,2650.897973507896,0.4697986577181208,2,0,10
1138,68,0.32326549812376315,429.7285744889847,4549.5220985487895,0.19117647058823528,1,1,3
1432,182,0.31950636422098455,269.1417702318432,4716.43366130055,0.23626373626373626,0,2,0
857,257,0.31763374051394144,168.79602394085288,3535.7259020522356,0.35797665369649806,2,0,3
1413,142,0.31579950594415035,286.48074184712755,4486.468300312519,0.2887323943661972,0,1,0
719,187,0.30027614844020256,173.4370090197027,3278.0697258102387,0.39572192513368987,1,2,0
1482,124,0.2971603726873247,179.05176322641466,2784.6780741611315,0.46774193548387094,0,2,0
1459,222,0.2940859066009334,176.03341525834443,3701.466597829873,0.3108108108108108,1,2,0
525,186,0.29043870334873356,132.3154460347976,2578.629655841682,0.43548387096774194,1,1,3
1150,84,0.2889044016102224,421.7884689212655,5553.3702832844665,0.21428571428571427,2,0,0
558,60,0.2887736153095153,208.09022902321993,2316.5743762558936,0.48333333333333334,2,2,0
521,267,0.2871412104195795,212.1597706649664,5010.713667870911,0.23595505617977527,0,2,0
341,270,0.28548276270795925,137.06074334427927,3274.0968274553798,0.37037037037037035,2,1,3
550,114,0.27524173481813113,130.17681826706269,2095.792281649403,0.5,0,0,3
1191,85,0.27054717738896666,246.72748204070996,3489.4776988976946,0.4235294117647059,1,1,0
208,90,0.2680839556113756,214.83874837173423,3155.291520258491,0.4,0,2,3
126,217,0.25987539991534,198.16588517101215,4661.975992811985,0.2534562211981567,2,0,10
277,270,0.2580345658710348,96.13055293364346,2540.6326804731316,0.5,2,2,0
312,86,0.24949403301047102,158.82216270529076,2450.059395270271,0.47674418604651164,0,0,3
791,491,0.24895985058367098,86.61934157625099,3199.652061286205,0.3727087576374745,2,2,3
417,374,0.24889255253592635,132.2381044889996,4264.390427486223,0.26737967914438504,1,2,0
1373,358,0.24664744339002692,74.16661163802158,2361.29244990429,0.3547486033519553,0,2,0
453,110,0.23799383179161063,149.64249778301527,2736.919569349257,0.36363636363636365,1,1,3
320,127,0.23690409209362415,205.5579581961944,4058.2615952390247,0.30708661417322836,1,0,10
1268,167,0.2358687015977741,231.4813599180933,5263.5698341409325,0.2275449101796407,0,1,3
394,285,0.23093575783527132,51.26885116271902,1555.4687021076904,0.49473684210526314,0,0,3
293,146,0.2297388134371452,208.38909843332797,4548.764939269962,0.2602739726027397,1,2,3
731,348,0.22963453061274033,134.41607114128345,4531.897407208575,0.2442528735632184,2,2,10
337,418,0.22777461685114592,100.43578926344671,3741.517301776053,0.1674641148325359,1,2,10
1475,280,0.22484215310339298,99.83737858738388,3083.6912925167126,0.4392857142857143,0,2,0
1073,50,0.2237385841160336,297.5110916914622,3902.327579495579,0.34,1,1,0
760,67,0.2237323571053155,188.37708889721398,2860.3101642955244,0.4626865671641791,0,1,3
274,401,0.22343297458173375,68.5955077496985,2551.5086150696966,0.4089775561097257,0,0,0
1483,174,0.2217372700198,179.8477294940276,4440.351314026116,0.26436781609195403,2,0,10
549,128,0.21971229269171175,239.23871013240387,5112.796721470208,0.21875,1,2,0
1352,86,0.2165108409840913,215.65241048619566,3833.5430136541304,0.1744186046511628,1,2,3
1357,50,0.2153884384535636,360.08600925482386,4906.200666328073,0.24,1,2,0
1182,66,0.21428462481568913,198.62668850042567,3125.323689488512,0.25757575757575757,2,1,0
934,184,0.21397785638728675,124.31528430509744,3270.7025648322006,0.41304347826086957,2,0,10
651,361,0.20917186477402694,78.154764023239,2946.335739682178,0.3878116343490305,1,1,10
165,107,0.2089595910333041,159.5115795460668,3277.1644856545913,0.37383177570093457,2,0,3
318,131,0.20869445403093437,140.15334243590092,3190.1025498778654,0.2900763358778626,0,2,0
56,200,0.20460189419156558,137.63099969290576,3948.190117775247,0.335,1,1,0
678,262,0.20162519232527026,80.81283809513388,2692.543045993262,0.42366412213740456,1,2,0
743,95,0.19829505341211578,169.20079273327772,3451.6659667826516,0.3684210526315789,0,1,0
135,323,0.19692888352941204,124.0902795058143,4700.088658734311,0.23219814241486067,1,1,10
128,73,0.19477694000078752,230.44335317899274,4195.3144930781655,0.2876712328767123,0,2,10
1132,492,0.19095971850213647,37.711877165732005,1818.0062886762075,0.4613821138211382,2,0,3
1040,116,0.1879898919344941,158.51830587693163,3769.210251383305,0.16379310344827586,1,0,3
1142,627,0.18481901861153502,64.90032358875102,3649.307147618481,0.32057416267942584,1,0,3
720,57,0.17906038541883854,218.84207849209557,3829.527466497246,0.19298245614035087,1,0,3
461,687,0.17865544461452304,42.055857499525665,2560.7374318949956,0.44250363901018924,2,0,10
1223,127,0.17292170381754238,145.17363174748687,3926.598903130266,0.2992125984251969,0,0,3
526,91,0.17099708468929267,228.85530230898894,5298.701005448703,0.2087912087912088,0,2,10
682,1868,0.1691556960667745,33.78151680909992,3582.2624445102533,0.3645610278372591,1,1,3
375,109,0.166414800737438,109.4072658055549,2848.681592930296,0.4036697247706422,2,2,10
1164,100,0.1645019207241404,156.668187250357,3952.631161825723,0.12,1,1,0
284,122,0.157340552076077,133.25899923882346,3882.5069162823656,0.14754098360655737,2,0,3
1484,122,0.1560453302268893,94.29882954953482,2770.204854153622,0.29508196721311475,2,0,0
656,103,0.15173266251396156,97.19017561930006,2697.9776369864867,0.4563106796116505,2,0,3
1265,102,0.15118131476435848,160.6876458627673,4455.135333764426,0.24509803921568626,0,2,0
1478,105,0.1505456769056472,134.0435434414721,3786.593679402178,0.3619047619047619,2,1,10
1027,354,0.15006033518289416,81.5001717975499,4241.023588504543,0.288135593220339,1,1,10
449,492,0.1464910258109764,37.0423571764713,2327.8049706460715,0.45934959349593496,2,1,10
1029,119,0.14459367813590454,85.38033282684638,2673.3662670228273,0.47058823529411764,1,0,3
1053,770,0.14444418621800534,30.39727572033735,2423.574664758226,0.37922077922077924,1,0,10
300,69,0.13022283892426134,116.67387915891342,3088.783501374574,0.2318840579710145,1,2,0
1294,360,0.12448932882238942,45.810001316727906,2897.7163692797612,0.4222222222222222,1,2,3
1222,95,0.11951863603753689,105.2917310118977,3563.665108570809,0.14736842105263157,1,1,10
1291,61,0.11735245880284846,144.56182630483306,3993.0320417712865,0.29508196721311475,2,1,3
516,155,0.11586144778980938,80.08249666000653,3571.420171907629,0.3161290322580645,1,1,3
1279,156,0.11356487308213821,57.89720572353652,2642.727161056553,0.44871794871794873,0,1,3
1474,276,0.10903103460165882,48.90959789789956,3092.9645701870304,0.391304347826087,0,1,3
554,131,0.10794737688337011,110.43864649542179,4859.829967711521,0.2366412213740458,2,1,3
232,108,0.10714995214492821,102.46171143169461,4124.373112679355,0.26851851851851855,1,0,0
408,822,0.09975122470729209,27.26951953271254,3252.9066724127847,0.35036496350364965,2,1,0
539,311,0.09835231631916279,63.08315354817636,4694.4578351799155,0.19935691318327975,1,1,0
788,714,0.09777699933364278,15.850073220579102,1797.7120046713635,0.47478991596638653,2,0,3
885,625,0.09126377784689385,30.391015475872205,3455.120696188792,0.3376,0,1,10
171,319,0.09079532882994998,41.48101847483755,3386.5515564822012,0.34796238244514105,0,2,3
1200,328,0.06736137052622992,40.37687765981115,4505.418978127163,0.24085365853658536,0,0,3
927,273,0.06413316714557835,39.326630952642624,4204.959561426476,0.304029304029304,0,1,3
713,98,0.06381187853072685,72.76938357260921,4685.291855024553,0.20408163265306123,2,2,3
1123,238,0.058553692443210945,29.74801032618275,3252.8838763989097,0.226890756302521,2,1,10
595,164,0.04980792534903067,49.31330236661508,5262.159448449604,0.1951219512195122,2,0,0
944,344,0.04929561199495226,20.88219529830705,3260.795452965309,0.1744186046511628,1,1,10
858,734,0.04379851954456068,17.87233460116793,4588.242153371851,0.24250681198910082,0,1,0
283,157,0.043525998057745915,41.60116472293741,4970.304804677962,0.18471337579617833,1,1,3
920,389,0.03931901153908945,8.290102432169649,1725.8718730072221,0.442159383033419,1,2,10
538,130,0.03178068242788503,36.144118170724965,5381.737812650204,0.17692307692307693,0,1,3
1316,922,0.030951204915131876,6.566351903188564,2673.5511576133413,0.4197396963123644,1,2,10
87,73,0.014229421982298712,22.18829752590672,5529.3565685559,0.1780821917808219,0,1,0
1115,204,0.012515352532549337,7.053409303591912,3340.777312608325,0.3627450980392157,2,0,3
243,125,0.010653823176778923,7.0944909397941665,3089.9197867086814,0.16,1,0,3
1417,214,0.010400633743220178,7.70258686089721,4496.350241653508,0.22429906542056074,1,0,10
1005,129,0.009238557986987254,7.193434043217639,3670.3153240703514,0.1937984496124031,2,2,3
836,116,0.007813212784050385,2.640499365033097,1510.6430430431024,0.5086206896551724,1,1,3
198,123,0.007314006402085904,6.074989617998934,3823.131221713665,0.2764227642276423,1,2,10
613,59,0.000879550037665421,0.9601690665628466,3480.083060817888,0.11864406779661017,0,2,3
634,570,0.000797588868678838,0.1930298171236676,2398.055266451236,0.4070175438596491,1,0,10
184,379,-0.007836252806019926,-2.8353755939908996,2923.4670838733073,0.30606860158311344,0,2,0
1000,82,-0.00798269733402106,-11.380276335428523,5357.800219133844,0.18292682926829268,1,0,0
1320,183,-0.00804851547652729,-3.3589376277704814,2343.085550586887,0.4918032786885246,1,1,3
951,88,-0.008245420093954034,-6.394102025072967,3019.1490602780627,0.14772727272727273,1,1,3
298,68,-0.009210484692179402,-6.8104744086027384,2530.6132729602914,0.20588235294117646,0,2,0
116,326,-0.013346804830994135,-5.00854082801675,2812.02484505199,0.2607361963190184,1,1,0
1025,618,-0.018122440714162445,-5.819826719625092,3313.325088060055,0.22168284789644013,2,1,3
1317,224,-0.018838279746530854,-6.373908612950864,2101.6725149805734,0.4375,1,0,0
496,133,-0.02169915337663314,-15.565285847203352,3433.3381284517313,0.3082706766917293,1,2,10
307,74,-0.027553103410846998,-31.562858737686494,4089.762742822118,0.12162162162162163,1,0,10
270,103,-0.031140630296769348,-30.374575714526852,4108.448798576971,0.2815533980582524,1,1,0
1341,75,-0.03146547888297249,-27.935945250311125,3191.0683149454153,0.2,2,1,0
1367,116,-0.031558982952670914,-33.675118962988044,4769.705659573688,0.20689655172413793,0,1,3
663,96,-0.0316150770621236,-28.75017197915501,3697.926404474484,0.15625,1,0,3
926,276,-0.03239585480406282,-13.298135941425864,2830.298951152022,0.4166666666666667,0,0,3
285,68,-0.03260186958183294,-16.23798533064152,1704.5923705169587,0.47058823529411764,2,1,3
860,228,-0.03591415289835344,-20.67922843426966,3608.382533285725,0.30701754385964913,2,1,3
139,102,-0.042722987674891334,-28.901221246559597,2835.509519228282,0.28431372549019607,0,2,0
698,63,-0.04682608023714642,-39.092918310494234,2750.1539561967465,0.42857142857142855,0,1,10
652,108,-0.04946284360167295,-33.74690347046918,2942.680909304987,0.3888888888888889,2,0,10
679,506,-0.05012336820336481,-28.73495885440043,5352.073091889325,0.16798418972332016,2,0,3
363,59,-0.05134977742146579,-57.85026150567445,3591.4449324588354,0.3050847457627119,2,2,3
1497,378,-0.05261878748772126,-13.022172488517292,1996.9397054882668,0.43386243386243384,2,1,0
578,274,-0.05447733651498307,-18.692995992315492,2357.299549336585,0.4562043795620438,1,0,3
1365,289,-0.056569734499040236,-21.49994859897888,2681.505224863113,0.356401384083045,0,2,0
1235,78,-0.058302714652482636,-49.80961472557059,3131.469255913423,0.34615384615384615,0,2,10
792,342,-0.05917482376017593,-32.58770583771637,4226.7475755100095,0.2631578947368421,2,1,0
149,88,-0.061813814244873776,-33.30015667983025,2097.38672654274,0.45454545454545453,1,0,0
763,201,-0.06395733382173521,-43.4881635092678,4000.87691308013,0.24875621890547264,1,1,3
456,256,-0.06628879453604748,-32.50199840036878,3255.8648622344167,0.19140625,2,2,0
1064,91,-0.06718884552150034,-78.47291125665159,4624.020246742048,0.2087912087912088,0,2,10
1216,50,-0.06742211188598433,-60.31128587183237,2625.171514738467,0.42,0,2,0
718,344,-0.06848421744690814,-38.919996640856404,4374.596113868607,0.23546511627906977,1,2,3
117,201,-0.06985880638439615,-29.19839156376936,2459.3041410900923,0.4079601990049751,1,2,10
1121,145,-0.07320540464652321,-33.55878633203563,2290.9918620608823,0.46206896551724136,1,1,10
222,130,-0.07448644049014459,-72.33302437315817,4595.232864312526,0.2230769230769231,0,2,3
715,153,-0.07551037850981723,-41.707102773500175,2835.4731247463883,0.20915032679738563,0,0,3
1234,57,-0.08060135477199172,-131.2996644108789,5104.2877248602435,0.17543859649122806,1,0,0
125,89,-0.08536465572201259,-113.76687685950866,5218.061472461239,0.16853932584269662,2,0,10
97,125,-0.09188190949523006,-76.06097166244889,3841.1680553628776,0.288,2,2,10
68,96,-0.09779970589681425,-99.58868032763651,4140.802245619479,0.2604166666666667,0,2,3
20,180,-0.0984063896109674,-26.235344679013725,1484.4862296944268,0.4666666666666667,0,2,0
977,66,-0.09941258765102236,-90.91818780502052,3083.598353293494,0.36363636363636365,0,0,10
905,597,-0.10001653960610889,-29.244056045665133,2965.032058632232,0.3969849246231156,2,2,3
1434,259,-0.10003105273804834,-38.7879840997936,2589.9339972779057,0.4362934362934363,2,2,0
1430,158,-0.10211374190666016,-70.79119742628126,3616.596485213421,0.2911392405063291,2,1,3
818,230,-0.1021206987019733,-65.85389342612879,4058.8971053175537,0.2782608695652174,0,1,0
1031,59,-0.10283942298335304,-163.32437998627574,5062.835745957731,0.1694915254237288,2,2,3
108,635,-0.10312556073063132,-33.98114298621722,3446.156271124558,0.3464566929133858,2,2,0
66,583,-0.1031709841109769,-40.13570738133286,3898.3791078108843,0.2692967409948542,1,2,3
1054,107,-0.10408726952281482,-73.66646510850298,3038.3692245994876,0.3177570093457944,0,2,10
829,58,-0.10900236573176954,-74.39351923132249,2157.196076673072,0.5172413793103449,0,2,3
761,120,-0.1096099270680305,-69.0472853834149,2863.9391614178635,0.38333333333333336,0,1,10
136,136,-0.11353314247071972,-79.80672793661924,3402.222759516617,0.3235294117647059,1,2,0
242,143,-0.11814018362843741,-112.11512096677379,4709.892686610516,0.18181818181818182,1,0,0
101,809,-0.12151541358931443,-37.75564335021387,3667.762546264135,0.08034610630407911,0,1,10
1354,370,-0.12574016021372056,-82.45643022259928,5235.134291030912,0.17297297297297298,0,0,10
22,238,-0.1261947483244535,-65.9796474693058,3347.6005645084356,0.14705882352941177,0,2,3
393,124,-0.12719417310351228,-85.6407023939484,3111.718427979414,0.20161290322580644,2,1,0
1117,424,-0.12973144597777428,-32.82861930261555,2162.552861633881,0.4740566037735849,0,2,0
252,79,-0.1306853906079632,-96.27069300854635,2717.4217582160627,0.35443037974683544,2,0,3
210,110,-0.13174781968896487,-144.66300203249358,4779.54796246712,0.2,1,2,3
968,579,-0.1344029548173424,-35.652560206458965,2649.095604770617,0.44559585492227977,1,2,0
740,461,-0.13522331385068945,-16.15900499509656,1064.8537093910818,0.4945770065075922,2,0,10
1039,279,-0.13548327992092765,-85.79754527911753,4390.032215380119,0.22939068100358423,2,2,3
223,140,-0.13941172595915,-150.26342140176192,5292.909058330095,0.15714285714285714,2,0,0
492,101,-0.14097072477416148,-102.45177347717132,3031.2913474895404,0.2376237623762376,1,0,3
1154,108,-0.14214902968346735,-113.25884090113753,3436.5014848804967,0.32407407407407407,2,2,0
118,51,-0.14234331595085645,-85.73529411764706,1785.1885652584185,0.43137254901960786,2,2,0
542,274,-0.14706013805313112,-74.72569926282944,3490.8142872358935,0.1678832116788321,0,0,10
671,148,-0.14896456533760524,-102.75716213417117,3482.86331334582,0.34459459459459457,1,1,3
225,70,-0.1501722393316034,-109.60908179656589,2534.4419460002155,0.2714285714285714,2,2,3
1135,242,-0.1509683754120437,-118.49901918719476,5067.723392282545,0.17768595041322313,0,2,10
531,180,-0.15224926869017139,-127.25891090230328,4654.206886813926,0.19444444444444445,2,0,0
388,196,-0.15347462806914436,-93.49233553325786,3539.516164958139,0.34183673469387754,0,0,0
1257,123,-0.154349303434061,-132.95196351645285,3964.7798950151123,0.24390243902439024,1,0,3
993,139,-0.1570101507014534,-113.44980440424419,3535.5734676006514,0.18705035971223022,0,1,3
499,739,-0.168018981787259,-42.17848334447086,2832.2479750005164,0.2422192151556157,1,2,3
712,538,-0.1708506005194348,-45.406479280189934,2558.4026846114566,0.44609665427509293,2,2,3
390,150,-0.172624847348164,-124.83114763642928,3675.7141500901143,0.12666666666666668,2,1,3
1452,149,-0.18119303708773873,-100.12927918665633,2799.556033648843,0.3959731543624161,2,2,0
748,241,-0.1811987929727505,-84.0661678597664,2989.1720758276842,0.3775933609958506,0,2,10
1151,334,-0.18626198127023533,-98.57455146770019,4014.119245891883,0.26646706586826346,2,0,0
1405,93,-0.18716740958743103,-168.8237830087457,3610.117333320071,0.3118279569892473,2,2,10
233,75,-0.1876927860830551,-135.09729665861144,2587.0579346635764,0.24,1,2,0
1188,173,-0.18980706547314435,-134.51165061285866,3868.539394409417,0.28901734104046245,2,2,0
36,678,-0.19115569316141542,-52.97554885901859,2994.8806495133367,0.19911504424778761,0,0,10
